id,imdb_id,popularity,title,cast,genres,cast_orig,genres_orig,combined
280996,tt3168230,3.927333,mr. holmes,Ian McKellen Milo Parker Laura Linney Hattie Morahan Patrick Kennedy,Mystery Drama,"Ian McKellen,Milo Parker,Laura Linney,Hattie Morahan,Patrick Kennedy","Mystery,Drama",Mystery Drama Ian McKellen Milo Parker Laura Linney Hattie Morahan Patrick Kennedy
198184,tt1823672,3.899557,chappie,Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo,Crime Action Science Fiction,"Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo","Crime,Action,Science Fiction",Crime Action Science Fiction Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo
254470,tt2848292,3.877764,pitch perfect 2,Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin,Comedy Music,"Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin","Comedy,Music",Comedy Music Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin
296098,tt3682448,3.64821,bridge of spies,Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch,Thriller Drama,"Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Sebastian Koch","Thriller,Drama",Thriller Drama Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch
257445,tt1051904,3.644541,goosebumps,Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell,Adventure Horror Comedy,"Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Jillian Bell","Adventure,Horror,Comedy",Adventure Horror Comedy Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell
264644,tt3170832,3.557846,room,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,Drama Thriller,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy","Drama,Thriller",Drama Thriller Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy
339527,tt1291570,3.358321,solace,Abbie Cornish Jeffrey Dean Morgan Colin Farrell Anthony Hopkins Marley Shelton,Crime Drama Mystery,"Abbie Cornish,Jeffrey Dean Morgan,Colin Farrell,Anthony Hopkins,Marley Shelton","Crime,Drama,Mystery",Crime Drama Mystery Abbie Cornish Jeffrey Dean Morgan Colin Farrell Anthony Hopkins Marley Shelton
105864,tt1979388,3.339135,the good dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Adventure Animation Comedy Family Fantasy,"Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla","Adventure,Animation,Comedy,Family,Fantasy",Adventure Animation Comedy Family Fantasy Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla
241554,tt2199571,3.23737,run all night,Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook Bruce McGill,Action Crime Drama Mystery Thriller,"Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill","Action,Crime,Drama,Mystery,Thriller",Action Crime Drama Mystery Thriller Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook Bruce McGill
167073,tt2381111,3.227329,brooklyn,Saoirse Ronan Domhnall Gleeson Emory Cohen Emily Bett Rickards Eileen O'Higgins,Drama Romance,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards,Eileen O'Higgins","Drama,Romance",Drama Romance Saoirse Ronan Domhnall Gleeson Emory Cohen Emily Bett Rickards Eileen O'Higgins
277216,tt1398426,3.202719,straight outta compton,O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge,Drama Music,"O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,Aldis Hodge","Drama,Music",Drama Music O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge
274854,tt1618442,3.080505,the last witch hunter,Vin Diesel Rose Leslie Michael Caine Elijah Wood Ã“lafur Darri Ã“lafsson,Fantasy Action Adventure,"Vin Diesel,Rose Leslie,Michael Caine,Elijah Wood,Ã“lafur Darri Ã“lafsson","Fantasy,Action,Adventure",Fantasy Action Adventure Vin Diesel Rose Leslie Michael Caine Elijah Wood Ã“lafur Darri Ã“lafsson
321697,tt2080374,3.079522,steve jobs,Michael Fassbender Kate Winslet Seth Rogen Katherine Waterston Jeff Daniels,History Drama,"Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston,Jeff Daniels","History,Drama",History Drama Michael Fassbender Kate Winslet Seth Rogen Katherine Waterston Jeff Daniels
203801,tt1638355,3.053421,the man from u.n.c.l.e.,Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani,Comedy Action Adventure,"Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki,Luca Calvani","Comedy,Action,Adventure",Comedy Action Adventure Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani
293863,tt1655441,3.025852,the age of adaline,Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker,Fantasy Drama Romance,"Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Kathy Baker","Fantasy,Drama,Romance",Fantasy Drama Romance Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker
325348,tt3072482,3.023253,hardcore henry,Sharlto Copley Haley Bennett Danila Kozlovskiy Tim Roth Andrei Dementiev,Action Adventure Science Fiction,"Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev","Action,Adventure,Science Fiction",Action Adventure Science Fiction Sharlto Copley Haley Bennett Danila Kozlovskiy Tim Roth Andrei Dementiev
228161,tt2224026,2.976436,home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Fantasy Comedy Animation Science Fiction Family,"Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,Matt Jones","Fantasy,Comedy,Animation,Science Fiction,Family",Fantasy Comedy Animation Science Fiction Family Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones
286565,tt3622592,2.968254,paper towns,Nat Wolff Cara Delevingne Halston Sage Justice Smith Austin Abrams,Drama Mystery Romance,"Nat Wolff,Cara Delevingne,Halston Sage,Justice Smith,Austin Abrams","Drama,Mystery,Romance",Drama Mystery Romance Nat Wolff Cara Delevingne Halston Sage Justice Smith Austin Abrams
265208,tt2231253,2.93234,wild card,Jason Statham Michael Angarano Milo Ventimiglia Dominik GarcÃ­a-Lorido Anne Heche,Thriller Crime Drama,"Jason Statham,Michael Angarano,Milo Ventimiglia,Dominik GarcÃ­a-Lorido,Anne Heche","Thriller,Crime,Drama",Thriller Crime Drama Jason Statham Michael Angarano Milo Ventimiglia Dominik GarcÃ­a-Lorido Anne Heche
254320,tt3464902,2.885126,the lobster,Colin Farrell Rachel Weisz LÃ©a Seydoux John C. Reilly Ben Whishaw,Thriller Comedy Drama Romance Science Fiction,"Colin Farrell,Rachel Weisz,LÃ©a Seydoux,John C. Reilly,Ben Whishaw","Thriller,Comedy,Drama,Romance,Science Fiction",Thriller Comedy Drama Romance Science Fiction Colin Farrell Rachel Weisz LÃ©a Seydoux John C. Reilly Ben Whishaw
258480,tt2402927,2.883233,carol,Cate Blanchett Rooney Mara Kyle Chandler Sarah Paulson Jake Lacy,Romance Drama,"Cate Blanchett,Rooney Mara,Kyle Chandler,Sarah Paulson,Jake Lacy","Romance,Drama",Romance Drama Cate Blanchett Rooney Mara Kyle Chandler Sarah Paulson Jake Lacy
257211,tt2361509,2.814802,the intern,Robert De Niro Anne Hathaway Rene Russo Anders Holm JoJo Kushner,Comedy,"Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm,JoJo Kushner",Comedy,Comedy Robert De Niro Anne Hathaway Rene Russo Anders Holm JoJo Kushner
253412,tt2719848,2.798017,everest,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Adventure Drama,"Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes,Sam Worthington","Adventure,Drama",Adventure Drama Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington
274479,tt2446980,2.793297,joy,Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar RamÃ­rez,Comedy Drama,"Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco,Edgar RamÃ­rez","Comedy,Drama",Comedy Drama Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar RamÃ­rez
257088,tt2058673,2.614499,point break,Edgar RamÃ­rez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,Action Crime Thriller,"Edgar RamÃ­rez,Luke Bracey,Teresa Palmer,Delroy Lindo,Ray Winstone","Action,Crime,Thriller",Action Crime Thriller Edgar RamÃ­rez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone
295964,tt2503944,2.584264,burnt,Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman,Drama,"Bradley Cooper,Sienna Miller,Lily James,Alicia Vikander,Uma Thurman",Drama,Drama Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman
238615,tt2140379,2.578919,self/less,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,Science Fiction Mystery Thriller,"Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode,Michelle Dockery","Science Fiction,Mystery,Thriller",Science Fiction Mystery Thriller Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery
210860,tt3045616,2.575711,mortdecai,Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn,Comedy Adventure,"Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn","Comedy,Adventure",Comedy Adventure Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn
306819,tt0810819,2.557859,the danish girl,Eddie Redmayne Alicia Vikander Matthias Schoenaerts Amber Heard Ben Whishaw,Drama,"Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Amber Heard,Ben Whishaw",Drama,Drama Eddie Redmayne Alicia Vikander Matthias Schoenaerts Amber Heard Ben Whishaw
201088,tt2717822,2.550747,blackhat,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Mystery Crime Action Thriller Drama,"Chris Hemsworth,Leehom Wang,Tang Wei,Viola Davis,Holt McCallany","Mystery,Crime,Action,Thriller,Drama",Mystery Crime Action Thriller Drama Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany
273481,tt3397884,2.487849,sicario,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Action Crime Drama Mystery Thriller,"Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal","Action,Crime,Drama,Mystery,Thriller",Action Crime Drama Mystery Thriller Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal
166424,tt1502712,2.487042,fantastic four,Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell,Action Adventure Science Fiction,"Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell,Toby Kebbell","Action,Adventure,Science Fiction",Action Adventure Science Fiction Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell
310131,tt4263482,2.46449,the witch,Anya Taylor-Joy Ralph Ineson Kate Dickie Harvey Scrimshaw Ellie Grainger,Mystery Horror,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Ellie Grainger","Mystery,Horror",Mystery Horror Anya Taylor-Joy Ralph Ineson Kate Dickie Harvey Scrimshaw Ellie Grainger
238713,tt3079380,2.404473,spy,Melissa McCarthy Jason Statham Rose Byrne Miranda Hart Bobby Cannavale,Action Comedy Crime,"Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale","Action,Comedy,Crime",Action Comedy Crime Melissa McCarthy Jason Statham Rose Byrne Miranda Hart Bobby Cannavale
256591,tt2381941,2.395366,focus,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Romance Comedy Crime Drama,"Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor,Gerald McRaney","Romance,Comedy,Crime,Drama",Romance Comedy Crime Drama Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney
249070,tt2679042,2.354654,hitman: agent 47,Rupert Friend Zachary Quinto Hannah Ware Emilio Rivera Rolf Kanies,Action Crime Thriller,"Rupert Friend,Zachary Quinto,Hannah Ware,Emilio Rivera,Rolf Kanies","Action,Crime,Thriller",Action Crime Thriller Rupert Friend Zachary Quinto Hannah Ware Emilio Rivera Rolf Kanies
205775,tt1390411,2.345821,in the heart of the sea,Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw,Thriller Drama Adventure Action History,"Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw","Thriller,Drama,Adventure,Action,History",Thriller Drama Adventure Action History Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw
334074,tt3247714,2.331636,survivor,Pierce Brosnan Milla Jovovich Dylan McDermott Angela Bassett Robert Forster,Crime Thriller Action,"Pierce Brosnan,Milla Jovovich,Dylan McDermott,Angela Bassett,Robert Forster","Crime,Thriller,Action",Crime Thriller Action Pierce Brosnan Milla Jovovich Dylan McDermott Angela Bassett Robert Forster
312221,tt3076658,2.331567,creed,Michael B. Jordan Sylvester Stallone Graham McTavish Tessa Thompson Phylicia RashÄd,Drama,"Michael B. Jordan,Sylvester Stallone,Graham McTavish,Tessa Thompson,Phylicia RashÄd",Drama,Drama Michael B. Jordan Sylvester Stallone Graham McTavish Tessa Thompson Phylicia RashÄd
271718,tt3152624,2.31767,trainwreck,Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer,Comedy,"Amy Schumer,Bill Hader,Brie Larson,Colin Quinn,Vanessa Bayer",Comedy,Comedy Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer
333352,tt2057392,2.29573,eye in the sky,Helen Mirren Aaron Paul Alan Rickman Iain Glen Barkhad Abdi,Drama Thriller War,"Helen Mirren,Aaron Paul,Alan Rickman,Iain Glen,Barkhad Abdi","Drama,Thriller,War",Drama Thriller War Helen Mirren Aaron Paul Alan Rickman Iain Glen Barkhad Abdi
276907,tt3569230,2.28135,legend,Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton,Crime Thriller,"Tom Hardy,Emily Browning,Christopher Eccleston,David Thewlis,Taron Egerton","Crime,Thriller",Crime Thriller Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton
284289,tt2911668,2.272044,beyond the reach,Michael Douglas Jeremy Irvine Hanna Mangan Lawrence Ronny Cox Martin Palmer,Thriller,"Michael Douglas,Jeremy Irvine,Hanna Mangan Lawrence,Ronny Cox,Martin Palmer",Thriller,Thriller Michael Douglas Jeremy Irvine Hanna Mangan Lawrence Ronny Cox Martin Palmer
266647,tt3332064,2.234573,pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Adventure Family Fantasy,"Levi Miller,Garrett Hedlund,Hugh Jackman,Rooney Mara,Amanda Seyfried","Adventure,Family,Fantasy",Adventure Family Fantasy Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried
347096,tt3478232,2.165433,mythica: the darkspore,Melanie Stone Kevin Sorbo Adam Johnson Jake Stormoen Rocky Myers,Action Adventure Fantasy,"Melanie Stone,Kevin Sorbo,Adam Johnson,Jake Stormoen,Rocky Myers","Action,Adventure,Fantasy",Action Adventure Fantasy Melanie Stone Kevin Sorbo Adam Johnson Jake Stormoen Rocky Myers
308369,tt2582496,2.141506,me and earl and the dying girl,Thomas Mann RJ Cyler Olivia Cooke Connie Britton Nick Offerman,Comedy Drama,"Thomas Mann,RJ Cyler,Olivia Cooke,Connie Britton,Nick Offerman","Comedy,Drama",Comedy Drama Thomas Mann RJ Cyler Olivia Cooke Connie Britton Nick Offerman
227973,tt2452042,2.140199,the peanuts movie,Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman,Adventure Animation Comedy Family,"Noah Schnapp,Bill Melendez,Venus Schultheis,Hadley Belle Miller,Madisyn Shipman","Adventure,Animation,Comedy,Family",Adventure Animation Comedy Family Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman
